"","X","location","created_at","date","observers","other_observers","edna_water_collected","edna_volume_collected_l","humidity","pressure","elevation","wind_speed_ms","air_temperature_c","dissolved_oxygen","water_temperature_c","conductivity_us","ph","sampling_event_comments","fulcrum_id"
"11",11,"Phelps Pond","2022-06-03 20:16:05 EDT","2022-06-03","Brandon Hoenig,Emily Jolly,Shane Robertson",NA,"yes",3,NA,NA,NA,0,20.3,NA,20.6,105.1,5.4,NA,NA
"12",12,"Phelps Pond","2022-06-04 20:54:46 EDT","2022-06-04","Brandon Hoenig,Emily Jolly,Shane Robertson",NA,"no",NA,NA,NA,NA,0,15.7,NA,19.1,107.5,6.14,NA,NA
"13",13,"Phelps Pond","2022-06-05 10:35:16 EDT","2022-06-05","Brandon Hoenig,Emily Jolly,Shane Robertson",NA,"no",NA,NA,NA,NA,0.6,16.9,NA,16.6,99.8,6.84,NA,NA
"14",14,"RV Pond","2022-06-08 21:04:33 EDT","2022-06-08","Brandon Hoenig,Emily Jolly,Sydney Dawson,Myah Madril",NA,"no",NA,NA,NA,NA,0,17.9,NA,20.9,101.8,6.35,NA,NA
"15",15,"RV Pond","2022-06-09 10:29:53 EDT","2022-06-09","Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,1.7,14.2,NA,18,97.2,6.41,NA,NA
"16",16,"RV Pond","2022-06-07 21:31:26 EDT","2022-06-07","Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"yes",1,NA,NA,NA,0,15.2,NA,19.1,105.5,6.06,NA,NA
"17",17,"Tuttle Pond","2022-06-14 20:42:07 EDT","2022-06-14","Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,0,22.9,NA,23.3,110.5,6.06,NA,NA
"18",18,"Tuttle Pond","2022-06-15 21:30:36 EDT","2022-06-15","Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"yes",NA,NA,NA,NA,0.3,26.3,NA,25.2,128,6.38,NA,NA
"19",19,"Tuttle Pond","2022-06-16 10:28:58 EDT","2022-06-16","Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,0.3,25.2,NA,23.2,139.9,6.62,NA,NA
"20",20,"Tryon-Weber","2022-06-22 10:25:55 EDT","2022-06-22","Brandon Hoenig,Cori Richards-Zawacki,Emily Jolly,Myah Madril,Sydney Dawson",NA,"yes",NA,NA,NA,NA,0,24.1,NA,18.2,159.3,6.05,NA,NA
"21",21,"Tryon-Weber","2022-06-23 10:46:09 EDT","2022-06-23","Emily Jolly,Myah Madril,Sydney Dawson",NA,NA,NA,NA,NA,NA,0,18.6,NA,17,160.3,6.67,NA,NA
"22",22,"Tryon-Weber","2022-06-23 21:27:11 EDT","2022-06-23","Brandon Hoenig,Emily Jolly,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,0,17.3,NA,18.1,166.2,7.48,NA,NA
"23",23,"Vorisek Pond","2022-06-27 22:07:08 EDT","2022-06-27","Brandon Hoenig,Myah Madril,Sydney Dawson",NA,"yes",NA,NA,NA,NA,0,17.5,NA,24.7,141.2,5.87,NA,NA
"24",24,"Vorisek Pond","2022-06-28 21:31:49 EDT","2022-06-28","Brandon Hoenig,Myah Madril,Sydney Dawson",NA,"no",NA,NA,NA,NA,0.3,16.9,NA,25.4,147.2,6.2,NA,NA
"25",25,"RV Pond","2022-07-11 21:21:23 EDT","2022-07-11","Brandon Hoenig,Myah Madril,Sydney Dawson","Rachel Verdi","yes",NA,NA,NA,NA,0.4,23.6,NA,24.5,245,5.89,NA,NA
"26",26,"RV Pond","2022-07-12 22:00:04 EDT","2022-07-12","Brandon Hoenig,Myah Madril,Sydney Dawson","Rachel Verdi",NA,NA,NA,NA,NA,0,20.3,NA,24,195.6,6.62,NA,NA
"27",27,"Tuttle Pond","2022-07-18 21:47:04 EDT","2022-07-18","Sydney Dawson,Myah Madril,Brandon Hoenig","Rachel Verdi","yes",3,NA,NA,NA,0,21.6,NA,21.2,287,6.28,"Class group collected frogs from this site (date?)",NA
"28",28,"Tuttle Pond","2022-07-19 21:32:27 EDT","2022-07-19","Sydney Dawson,Brandon Hoenig,Myah Madril","Rachel Verdi","no",NA,NA,NA,NA,0,24.9,NA,24.6,273,6.54,NA,NA
"29",29,"Phelps Pond","2022-05-06 00:32:22 UTC","2022-05-05","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.3,13,NA,14.8,76.1,NA,NA,"81918035-8727-4979-ae70-dd9eb29b3676"
"30",30,"Admin Pond","2022-05-12 00:40:09 UTC","2022-05-11","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.4,19.6,NA,20.5,29.3,NA,"pH 7.65","3334ebd7-54c0-4e18-a80c-abb313f185f1"
"31",31,"RV Pond","2022-05-13 00:26:02 UTC","2022-05-12","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,0.5,23.5,NA,24,76.6,6.44,NA,"b40a6235-d3a6-498b-8cad-5845d07c5378"
"32",32,"Admin Pond","2022-05-20 00:55:56 UTC","2022-05-19","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,1,22.2,NA,19.5,42.1,6.95,NA,"0f868ee9-f2cf-46f2-93c2-fdaa780b3bef"
"33",33,"Admin Pond","2022-05-19 00:20:30 UTC","2022-05-18","Brandon Hoenig,Cori Richards-Zawacki,Emily Jolly",NA,NA,NA,NA,NA,NA,0.5,12.1,NA,12.8,37.1,7.26,NA,"dfaf9677-e878-48ec-96a3-4e92f6af433a"
"34",34,"Wood Lab Pond","2022-05-05 00:51:40 UTC","2022-05-04","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,NA,12.8,NA,13,NA,NA,"Used multimeter for air temp.  Ph is 6.28","4283096b-b956-4501-974c-3bd729831d91"
"35",35,"Admin Pond","2022-05-20 17:22:56 UTC","2022-05-20","Brandon Hoenig,Emily Jolly",NA,NA,NA,NA,NA,NA,2.2,19.4,NA,18.9,42.9,6.97,NA,"51aa8925-2742-4c94-8d52-73a9d3642fc0"
"36",36,"Wood Lab Pond","2022-05-27 00:31:47 UTC","2022-05-26","Brandon Hoenig,Emily Jolly,Shane Robertson",NA,NA,NA,NA,NA,NA,0,23.6,NA,19.2,32.2,5.79,NA,"9aad4a3b-4e6e-4328-a845-32a7f1f2fe69"
